Start,End,Note,
110.77,111.18,D♯2,
111.18,113.22,E2,
113.22,114.4,D♯2,
114.4,116.64,G♯1,
116.64,117.19,C♯2,
117.19,117.6,D♯2,
117.6,118.16,E2,
118.16,118.19,A♯2,
118.19,118.34,B2,
118.34,118.57,E3,
118.57,118.99,F♯3,
118.99,119.19,B2,
119.19,119.39,F♯2,
119.39,119.61,E2,
119.61,120.8,D♯2,
120.8,122.2,G♯1,
122.2,122.62,D♯2,
122.62,123.04,G♯1,
123.04,123.58,C♯2,
123.58,123.98,D♯2,
123.98,126.01,E2,
126.01,127.22,D♯2,
127.22,128.65,G♯1,
128.65,129.08,A1,
129.08,129.24,G♯1,
129.24,130,C♯2,
130,130.41,D♯2,
130.41,130.95,E2,
130.95,130.99,D♯2,
130.99,131.06,D2,
131.06,131.22,C2,
131.22,131.58,D♯1,
131.58,131.78,E1,
131.78,132.08,F1,
132.08,132.97,F♯1,
132.97,133.19,E3,
133.19,133.84,F♯2,
133.84,134.79,F♯1,
134.79,135.43,F♯2,
135.43,136.37,F♯1,
136.37,136.85,F♯2,
136.85,137.02,D♯1,
137.02,137.26,F♯1,
137.26,138.47,G♯1,
138.47,138.85,C♯1,
138.85,139.08,F♯1,
139.08,139.57,F1,
139.57,140.2,F♯2,
140.2,141.2,F♯1,
141.2,141.8,F♯2,
141.8,142.46,F♯1,
142.46,142.78,A♯1,
142.78,143.06,F♯2,
143.06,143.22,C♯2,
143.22,143.68,D♯2,
143.68,144.86,G♯1,
144.86,145.24,C♯2,
145.24,145.97,F♯1,
145.97,146.13,F♯2,
146.13,146.66,F2,
146.66,147.2,F♯1,
147.2,147.59,D♯2,
147.59,148,E2,
148,148.42,F2,
148.42,149.17,F♯1,
149.17,149.4,F♯2,
149.4,149.6,C♯2,
149.6,149.82,F♯1,
149.82,150.02,D♯1,
150.02,151.25,G♯1,
151.25,151.56,C♯2,
151.56,152.01,F♯1,
152.01,152.38,A♯1,
152.38,153.02,F♯2,
153.02,154,F♯1,
154,154.83,F♯2,
154.83,155.63,F♯1,
155.63,155.82,C♯2,
155.82,156.03,D♯2,
156.03,156.24,D♯1,
156.24,156.45,F♯1,
156.45,157.68,G♯1,
157.68,157.99,C♯2,
157.99,158.8,F♯1,
158.8,159.42,F♯2,
159.42,160.39,F♯1,
160.39,161.01,F♯2,
161.01,161.99,F♯1,
161.99,162.46,F♯2,
162.46,162.62,D♯1,
162.62,162.87,F♯1,
162.87,164.02,G♯1,
164.02,164.42,C♯1,
164.42,165.17,F♯1,
165.17,165.8,F♯2,
165.8,166.8,F♯1,
166.8,167.37,F♯2,
167.37,168.17,F♯1,
168.17,168.38,B1,
168.38,168.65,F♯2,
168.65,168.83,C♯2,
168.83,169.1,D♯2,
169.1,169.21,D♯1,
169.21,170.47,G♯1,
170.47,170.84,C♯2,
170.84,171.57,F♯1,
171.57,171.71,F♯2,
171.71,172.22,F2,
172.22,172.79,F♯1,
172.79,173.19,D♯2,
173.19,173.59,E2,
173.59,174.04,F2,
174.04,174.78,F♯1,
174.78,175.22,F♯2,
175.22,175.45,F♯1,
175.45,175.62,D♯1,
175.62,176.95,G♯1,
176.95,177.17,C♯2,
177.17,177.61,F♯1,
177.61,177.98,A♯1,
177.98,178.59,F♯2,
178.59,179.59,F♯1,
179.59,180.23,F♯2,
180.23,181.24,F♯1,
181.24,182.06,G♯1,
182.06,183.63,A1,
183.63,184.86,D♯2,
184.86,187.06,G♯1,
187.06,187.86,C♯2,
187.86,188.5,D♯2,
188.5,192.69,E2,
192.69,196.45,E1,
196.45,197.38,F3,
